month,country,age_group,share_of_messages
2024-07-01,JO,65+,0.063
2024-07-01,JP,18-24,0.273
2024-07-01,JP,25-34,0.371
2024-07-01,JP,35-44,0.194
2024-07-01,JP,45-54,0.112
2024-07-01,JP,55-64,0.036
2024-07-01,JP,65+,0.013
2024-07-01,KE,18-24,0.335
2024-07-01,KE,25-34,0.446
2024-07-01,KE,35-44,0.148
2024-07-01,KE,45-54,0.049
2024-07-01,KE,55-64,0.003
2024-07-01,KE,65+,0.020
2024-07-01,KH,18-24,0.298
2024-07-01,KH,25-34,0.455
2024-07-01,KH,35-44,0.177
2024-07-01,KH,45-54,0.070
2024-07-01,KH,55-64,0.000
2024-07-01,KH,65+,0.000
2024-07-01,KR,18-24,0.166
2024-07-01,KR,25-34,0.423
2024-07-01,KR,35-44,0.244
2024-07-01,KR,45-54,0.119
2024-07-01,KR,55-64,0.038
2024-07-01,KR,65+,0.011
2024-07-01,KZ,18-24,0.328
2024-07-01,KZ,25-34,0.470
2024-07-01,KZ,35-44,0.175
2024-07-01,KZ,45-54,0.023
2024-07-01,KZ,55-64,0.005
2024-07-01,KZ,65+,0.000
2024-07-01,LB,18-24,0.370
2024-07-01,LB,25-34,0.428
2024-07-01,LB,35-44,0.145
2024-07-01,LB,45-54,0.034
2024-07-01,LB,55-64,0.020
2024-07-01,LB,65+,0.003
2024-07-01,LK,18-24,0.368
2024-07-01,LK,25-34,0.500
2024-07-01,LK,35-44,0.087
2024-07-01,LK,45-54,0.037
2024-07-01,LK,55-64,0.007
2024-07-01,LK,65+,0.001
2024-07-01,LT,18-24,0.126
2024-07-01,LT,25-34,0.423
2024-07-01,LT,35-44,0.260
2024-07-01,LT,45-54,0.149
2024-07-01,LT,55-64,0.042
2024-07-01,LT,65+,0.000
2024-07-01,MA,18-24,0.334
2024-07-01,MA,25-34,0.491
2024-07-01,MA,35-44,0.122
2024-07-01,MA,45-54,0.024
2024-07-01,MA,55-64,0.011
2024-07-01,MA,65+,0.018
2024-07-01,MM,18-24,0.509
2024-07-01,MM,25-34,0.431
2024-07-01,MM,35-44,0.060
2024-07-01,MM,45-54,0.000
2024-07-01,MM,55-64,0.000
2024-07-01,MM,65+,0.000
2024-07-01,MX,18-24,0.323
2024-07-01,MX,25-34,0.409
2024-07-01,MX,35-44,0.172
2024-07-01,MX,45-54,0.064
2024-07-01,MX,55-64,0.027
